,social_connection_frequency,gathering_size_preference,valued_friendship_traits,conflict_resolution_style,family_support_level,social_battery_recharge,social_orientation_type,social_anxiety_level,emotional_expression_method,primary_anger_sources,target
465,Daily,Small gatherings,Support,Apologize first,Never,None of the above,Not sure,Avoid it,Talk openly,Unnecessary criticism,0.0
466,Weekly,Large events,Loyalty,Avoid conflict,No,Alone time,Introvert,Excited,Express emotion strongly,Unnecessary criticism,1.0
467,Daily,Large events,Loyalty,Avoid conflict,No,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
468,Weekly,Large events,Honesty,Avoid conflict,Never,Talking to someone,Ambivert,Neutral,Talk openly,Selfishness,0.0
469,Monthly,Small gatherings,Honesty,Talk it out,Yes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
470,Monthly,Large events,Loyalty,Talk it out,Yes,Social media,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
471,Monthly,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Not sure,Excited,Express emotion strongly,Being interrupted,1.0
472,Monthly,Both,Loyalty,Avoid conflict,Yes,Alone time,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
473,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Neutral,Express emotion strongly,Unnecessary criticism,1.0
474,Monthly,Large events,Support,Apologize first,Sometimes,Alone time,Extrovert,Excited,Talk openly,Unnecessary criticism,1.0
475,Weekly,Small gatherings,Loyalty,Avoid conflict,No,Social media,Ambivert,Avoid it,Stay silent,Selfishness,1.0
476,Never,Large events,Loyalty,Apologize first,No,Alone time,Introvert,Excited,Other,Selfishness,1.0
477,Monthly,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Not sure,Excited,Express emotion strongly,Selfishness,0.0
478,Never,Never,Loyalty,Apologize first,Never,None of the above,Not sure,Excited,Other,Unnecessary criticism,1.0
479,Weekly,Large events,Loyalty,Talk it out,Yes,Talking to someone,Not sure,Avoid it,Other,Injustice,0.0
480,Monthly,Never,Loyalty,Talk it out,Never,Social media,Not sure,Nervous,Express emotion strongly,Selfishness,1.0
481,Never,Small gatherings,Loyalty,Avoid conflict,Never,Talking to someone,Introvert,Excited,Stay silent,Injustice,0.0
482,Never,Large events,Loyalty,Talk it out,No,Alone time,Ambivert,Nervous,Talk openly,Unnecessary criticism,0.0
483,Weekly,Never,Honesty,Avoid conflict,Sometimes,None of the above,Introvert,Excited,Talk openly,Unnecessary criticism,1.0
484,Monthly,Never,Honesty,Apologize first,Sometimes,Social media,Extrovert,Nervous,Talk openly,Injustice,0.0
485,Monthly,Never,Loyalty,Talk it out,No,Talking to someone,Introvert,Excited,Express emotion strongly,Injustice,1.0
486,Monthly,Both,Support,Avoid conflict,No,Talking to someone,Introvert,Excited,Talk openly,Selfishness,1.0
487,Monthly,Small gatherings,Support,Talk it out,Yes,Talking to someone,Not sure,Neutral,Other,Selfishness,0.0
488,Daily,Both,Support,Apologize first,Sometimes,Social media,Ambivert,Avoid it,Stay silent,Being interrupted,1.0
489,Daily,Never,Support,Apologize first,Never,Alone time,Ambivert,Neutral,Stay silent,Unnecessary criticism,0.0
490,Monthly,Never,Honesty,Talk it out,No,Talking to someone,Not sure,Nervous,Stay silent,Injustice,0.0
491,Monthly,Both,Loyalty,Let time fix it,No,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
492,Weekly,Large events,Honesty,Talk it out,No,Talking to someone,Extrovert,Nervous,Stay silent,Being interrupted,0.0
493,Monthly,Large events,Honesty,Talk it out,No,Alone time,Extrovert,Excited,Stay silent,Being interrupted,0.0
494,Monthly,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Extrovert,Nervous,Talk openly,Selfishness,0.0
495,Monthly,Never,Support,Avoid conflict,Yes,Alone time,Introvert,Nervous,Stay silent,Selfishness,0.0
496,Monthly,Never,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
497,Weekly,Large events,Loyalty,Talk it out,Sometimes,Alone time,Ambivert,Nervous,Express emotion strongly,Being interrupted,0.0
498,Weekly,Large events,Loyalty,Let time fix it,Never,None of the above,Ambivert,Excited,Talk openly,Injustice,0.0
499,Monthly,Small gatherings,Loyalty,Apologize first,Sometimes,Social media,Extrovert,Neutral,Other,Selfishness,0.0
500,Monthly,Both,Support,Apologize first,Sometimes,Social media,Ambivert,Neutral,Talk openly,Unnecessary criticism,0.0
501,Monthly,Small gatherings,Support,Apologize first,Sometimes,Talking to someone,Extrovert,Neutral,Stay silent,Being interrupted,1.0
502,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Not sure,Nervous,Other,Being interrupted,1.0
503,Monthly,Small gatherings,Loyalty,Avoid conflict,Sometimes,None of the above,Extrovert,Neutral,Other,Being interrupted,0.0
504,Never,Both,Support,Apologize first,No,Alone time,Extrovert,Excited,Talk openly,Unnecessary criticism,1.0
505,Never,Small gatherings,Support,Avoid conflict,Never,Social media,Extrovert,Neutral,Stay silent,Injustice,0.0
506,Weekly,Small gatherings,Loyalty,Let time fix it,Sometimes,Alone time,Extrovert,Neutral,Stay silent,Being interrupted,0.0
507,Never,Small gatherings,Honesty,Talk it out,No,Social media,Extrovert,Excited,Express emotion strongly,Being interrupted,0.0
508,Monthly,Small gatherings,Support,Apologize first,Yes,Alone time,Ambivert,Nervous,Other,Injustice,0.0
509,Monthly,Large events,Honesty,Avoid conflict,Sometimes,None of the above,Ambivert,Nervous,Stay silent,Unnecessary criticism,1.0
510,Weekly,Small gatherings,Honesty,Apologize first,No,Talking to someone,Not sure,Excited,Talk openly,Selfishness,1.0
511,Monthly,Small gatherings,Honesty,Avoid conflict,No,Social media,Introvert,Excited,Express emotion strongly,Being interrupted,0.0
512,Monthly,Large events,Loyalty,Talk it out,No,None of the above,Introvert,Nervous,Talk openly,Injustice,0.0
513,Monthly,Both,Support,Talk it out,Yes,Social media,Extrovert,Nervous,Talk openly,Selfishness,0.0
514,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Alone time,Ambivert,Excited,Stay silent,Unnecessary criticism,1.0
515,Daily,Both,Honesty,Talk it out,Yes,Talking to someone,Not sure,Excited,Stay silent,Unnecessary criticism,1.0
516,Weekly,Large events,Honesty,Let time fix it,Sometimes,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
517,weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Talking to someone,Not sure,Nervous,Other,Injustice,0.0
518,Weekly,Never,Loyalty,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Talk openly,Injustice,0.0
519,Monthly,Never,Loyalty,Apologize first,Sometimes,Alone time,Introvert,Neutral,Other,Being interrupted,0.0
520,Never,Large events,Loyalty,Talk it out,No,Talking to someone,Not sure,Excited,Other,Being interrupted,0.0
521,Weekly,Large events,Support,Avoid conflict,Never,None of the above,Not sure,Excited,Stay silent,Being interrupted,1.0
522,Monthly,Small gatherings,Support,Let time fix it,Yes,Alone time,Introvert,Nervous,Express emotion strongly,Injustice,0.0
523,Monthly,Large events,Support,Avoid conflict,Yes,Alone time,Extrovert,Nervous,Other,Being interrupted,0.0
524,Monthly,Large events,Honesty,Talk it out,No,Social media,Ambivert,Avoid it,Other,Unnecessary criticism,0.0
525,Never,Never,Loyalty,Talk it out,Yes,Social media,Ambivert,Neutral,Talk openly,Injustice,0.0
526,Never,Large events,Loyalty,Talk it out,Yes,None of the above,Introvert,Excited,Talk openly,Injustice,0.0
527,Never,Large events,Support,Avoid conflict,Yes,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
528,Monthly,Large events,Honesty,Avoid conflict,Sometimes,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,1.0
529,Monthly,Small gatherings,Honesty,Let time fix it,Sometimes,Alone time,Ambivert,Excited,Talk openly,Being interrupted,1.0
530,Never,Never,Honesty,Talk it out,Never,Social media,Introvert,Excited,Stay silent,Being interrupted,0.0
531,Never,Small gatherings,Support,Apologize first,Yes,Alone time,Extrovert,Nervous,Stay silent,Being interrupted,0.0
532,Never,Large events,Honesty,Let time fix it,Yes,Social media,Introvert,Nervous,Other,Being interrupted,0.0
533,Monthly,Large events,Honesty,Talk it out,No,Social media,Not sure,Excited,Talk openly,Injustice,0.0
534,Monthly,Large events,Support,Avoid conflict,Sometimes,Talking to someone,Not sure,Neutral,Stay silent,Injustice,1.0
535,Monthly,Large events,Honesty,Apologize first,Never,Talking to someone,Not sure,Avoid it,Talk openly,Unnecessary criticism,1.0
536,Monthly,Small gatherings,Honesty,Let time fix it,Yes,Social media,Ambivert,Avoid it,Talk openly,Injustice,1.0
537,Never,Small gatherings,Honesty,Avoid conflict,Yes,Alone time,Introvert,Nervous,Other,Injustice,0.0
538,Monthly,Never,Support,Avoid conflict,No,Alone time,Extrovert,Neutral,Express emotion strongly,Injustice,0.0
539,Daily,Large events,Loyalty,Apologize first,No,Talking to someone,Ambivert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
540,Daily,Large events,Loyalty,Apologize first,Never,None of the above,Not sure,Neutral,Express emotion strongly,Unnecessary criticism,0.0
541,Monthly,Large events,Honesty,Talk it out,No,Talking to someone,Not sure,Avoid it,Talk openly,Injustice,0.0
542,Daily,Small gatherings,Honesty,Apologize first,Sometimes,Talking to someone,Ambivert,Avoid it,Other,Unnecessary criticism,0.0
543,Monthly,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Avoid it,Stay silent,Unnecessary criticism,0.0
544,Weekly,Large events,Loyalty,Apologize first,No,Talking to someone,Ambivert,Neutral,Express emotion strongly,Injustice,0.0
545,Weekly,Small gatherings,Support,Avoid conflict,Sometimes,Talking to someone,Not sure,Avoid it,Other,Unnecessary criticism,0.0
546,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
547,Monthly,Large events,Honesty,Talk it out,Yes,Social media,Extrovert,Nervous,Stay silent,Being interrupted,0.0
548,Daily,Both,Support,Apologize first,Sometimes,Social media,Extrovert,Excited,Talk openly,Being interrupted,1.0
549,Weekly,Small gatherings,Support,Let time fix it,No,Social media,Ambivert,Nervous,Other,Being interrupted,0.0
550,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Talk openly,Selfishness,1.0
551,Monthly,Never,Loyalty,Apologize first,No,Social media,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
552,Weekly,Small gatherings,Support,Apologize first,Sometimes,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
553,Daily,Small gatherings,Honesty,Talk it out,Sometimes,None of the above,Ambivert,Avoid it,Other,Injustice,0.0
554,Monthly,Both,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Nervous,Stay silent,Being interrupted,0.0
555,Monthly,Never,Support,Apologize first,Sometimes,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
556,Daily,Large events,Honesty,Talk it out,No,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
557,Never,Both,Loyalty,Avoid conflict,No,Alone time,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
558,Monthly,Large events,Loyalty,Avoid conflict,No,Social media,Ambivert,Avoid it,Stay silent,Unnecessary criticism,0.0
559,Weekly,Small gatherings,Loyalty,Avoid conflict,Sometimes,Talking to someone,Not sure,Neutral,Other,Injustice,0.0
560,Monthly,Large events,Honesty,Talk it out,Sometimes,Talking to someone,Introvert,Avoid it,Stay silent,Being interrupted,0.0
561,Daily,Large events,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Being interrupted,1.0
562,Daily,Small gatherings,Honesty,Talk it out,No,Talking to someone,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
563,Monthly,Large events,Loyalty,Talk it out,Yes,Alone time,Extrovert,Neutral,Express emotion strongly,Injustice,0.0
564,Weekly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Neutral,Stay silent,Injustice,0.0
565,Never,Large events,Loyalty,Apologize first,Sometimes,Social media,Introvert,Nervous,Stay silent,Being interrupted,0.0
566,Monthly,Large events,Honesty,Apologize first,No,Talking to someone,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
567,Weekly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Nervous,Talk openly,Selfishness,0.0
568,Weekly,Small gatherings,Honesty,Talk it out,Yes,Social media,Not sure,Avoid it,Stay silent,Being interrupted,0.0
569,Monthly,Large events,Honesty,Talk it out,Yes,Social media,Not sure,Avoid it,Other,Injustice,0.0
570,Monthly,Both,Support,Avoid conflict,No,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
571,Never,Large events,Honesty,Apologize first,No,Social media,Not sure,Nervous,Other,Being interrupted,0.0
572,Monthly,Small gatherings,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Nervous,Stay silent,Unnecessary criticism,1.0
573,Daily,Both,Support,Let time fix it,Never,Social media,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
574,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Extrovert,Neutral,Express emotion strongly,Injustice,0.0
575,Monthly,Large events,Loyalty,Talk it out,No,Social media,Extrovert,Nervous,Express emotion strongly,Injustice,0.0
576,Monthly,Both,Loyalty,Avoid conflict,Sometimes,None of the above,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
577,Weekly,Small gatherings,Support,Apologize first,Sometimes,Talking to someone,Extrovert,Avoid it,Stay silent,Injustice,0.0
578,Weekly,Both,Loyalty,Avoid conflict,Sometimes,None of the above,Ambivert,Neutral,Express emotion strongly,Injustice,0.0
579,Weekly,Large events,Support,Avoid conflict,Sometimes,None of the above,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
580,Never,Both,Support,Apologize first,Never,None of the above,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
581,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Excited,Talk openly,Selfishness,1.0
582,Monthly,Large events,Honesty,Talk it out,No,Social media,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
583,Monthly,Large events,Honesty,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Other,Being interrupted,0.0
584,Weekly,Large events,Honesty,Talk it out,Yes,Social media,Ambivert,Avoid it,Express emotion strongly,Being interrupted,0.0
585,Daily,Small gatherings,Loyalty,Avoid conflict,Sometimes,Social media,Not sure,Neutral,Express emotion strongly,Unnecessary criticism,0.0
586,Daily,Both,Support,Apologize first,Sometimes,Alone time,Not sure,Avoid it,Stay silent,Unnecessary criticism,0.0
587,Monthly,Both,Loyalty,Talk it out,Yes,Alone time,Introvert,Avoid it,Other,Injustice,0.0
588,Monthly,Both,Support,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Express emotion strongly,Being interrupted,0.0
589,Daily,Large events,Honesty,Talk it out,Yes,Alone time,Ambivert,Neutral,Other,Injustice,0.0
590,Weekly,Small gatherings,Loyalty,Avoid conflict,No,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
591,Never,Both,Support,Apologize first,Never,None of the above,Not sure,Neutral,Stay silent,Being interrupted,0.0
592,Weekly,Large events,Honesty,Apologize first,Sometimes,Talking to someone,Ambivert,Avoid it,Other,Injustice,0.0
593,Never,Both,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Excited,Express emotion strongly,Being interrupted,0.0
594,Daily,Both,Loyalty,Talk it out,Sometimes,Social media,Ambivert,Nervous,Other,Being interrupted,0.0
595,Weekly,Never,Loyalty,Let time fix it,Sometimes,Alone time,Extrovert,Nervous,Other,Injustice,0.0
596,Monthly,Both,Support,Apologize first,Sometimes,Talking to someone,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
597,Weekly,Small gatherings,Loyalty,Avoid conflict,No,Social media,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
598,Monthly,Large events,Honesty,Avoid conflict,Sometimes,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
599,Weekly,Large events,Loyalty,Apologize first,Yes,Social media,Ambivert,Excited,Stay silent,Unnecessary criticism,1.0
600,Monthly,Both,Loyalty,Avoid conflict,No,Social media,Ambivert,Neutral,Talk openly,Being interrupted,0.0
601,Weekly,Large events,Loyalty,Avoid conflict,No,Social media,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
602,Weekly,Never,Loyalty,Apologize first,Sometimes,None of the above,Extrovert,Avoid it,Other,Injustice,0.0
603,Weekly,Small gatherings,Honesty,Let time fix it,No,Social media,Not sure,Avoid it,Other,Injustice,0.0
604,Weekly,Large events,Support,Apologize first,Sometimes,Social media,Ambivert,Neutral,Stay silent,Being interrupted,0.0
605,Weekly,Large events,Support,Apologize first,Sometimes,Talking to someone,Extrovert,Neutral,Express emotion strongly,Injustice,0.0
606,Weekly,Large events,Honesty,Let time fix it,Sometimes,Talking to someone,Extrovert,Nervous,Stay silent,Being interrupted,1.0
607,Weekly,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Not sure,Avoid it,Other,Injustice,0.0
608,Weekly,Small gatherings,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Express emotion strongly,Injustice,0.0
609,Weekly,Small gatherings,Honesty,Talk it out,No,Talking to someone,Not sure,Avoid it,Express emotion strongly,Being interrupted,0.0
610,Weekly,Both,Support,Apologize first,Never,Talking to someone,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
611,Never,Both,Support,Avoid conflict,No,Talking to someone,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
612,Weekly,Large events,Honesty,Avoid conflict,Never,None of the above,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
613,Daily,Small gatherings,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Injustice,0.0
614,Monthly,Small gatherings,Honesty,Talk it out,Yes,Social media,Extrovert,Neutral,Express emotion strongly,Injustice,0.0
615,Weekly,Both,Support,Apologize first,No,Social media,Ambivert,Avoid it,Express emotion strongly,Being interrupted,0.0
616,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Not sure,Neutral,Express emotion strongly,Unnecessary criticism,0.0
617,Daily,Large events,Loyalty,Avoid conflict,Yes,Alone time,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
618,Daily,Large events,Support,Apologize first,Never,Talking to someone,Not sure,Neutral,Other,Injustice,0.0
619,Monthly,Large events,Honesty,Talk it out,No,Social media,Ambivert,Neutral,Other,Unnecessary criticism,0.0
620,Monthly,Small gatherings,Support,Apologize first,Sometimes,Talking to someone,Extrovert,Excited,Stay silent,Injustice,0.0
621,Weekly,Large events,Support,Apologize first,No,Social media,Ambivert,Neutral,Express emotion strongly,Being interrupted,0.0
622,Weekly,Small gatherings,Loyalty,Avoid conflict,Never,Talking to someone,Ambivert,Neutral,Stay silent,Being interrupted,0.0
623,Never,Large events,Loyalty,Let time fix it,No,Social media,Extrovert,Excited,Talk openly,Unnecessary criticism,1.0
624,Monthly,Large events,Honesty,Apologize first,Yes,Social media,Ambivert,Neutral,Talk openly,Injustice,0.0
625,Weekly,Small gatherings,Honesty,Avoid conflict,Never,None of the above,Not sure,Avoid it,Stay silent,Unnecessary criticism,0.0
626,Weekly,Large events,Honesty,Avoid conflict,Sometimes,None of the above,Ambivert,Neutral,Other,Injustice,0.0
627,Weekly,Small gatherings,Support,Apologize first,Sometimes,Talking to someone,Not sure,Nervous,Stay silent,Unnecessary criticism,0.0
628,Weekly,Large events,Support,Let time fix it,No,Talking to someone,Not sure,Avoid it,Express emotion strongly,Being interrupted,0.0
629,Weekly,Small gatherings,Loyalty,Avoid conflict,No,Talking to someone,Ambivert,Neutral,Stay silent,Injustice,0.0
630,Weekly,Small gatherings,Loyalty,Avoid conflict,Sometimes,None of the above,Not sure,Avoid it,Express emotion strongly,Being interrupted,0.0
631,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Injustice,0.0
632,Never,Large events,Support,Apologize first,Sometimes,None of the above,Not sure,Avoid it,Talk openly,Unnecessary criticism,0.0
633,Daily,Small gatherings,Loyalty,Talk it out,No,Social media,Not sure,Avoid it,Express emotion strongly,Injustice,0.0
634,Weekly,Small gatherings,Honesty,Talk it out,Yes,Talking to someone,Ambivert,Avoid it,Other,Injustice,0.0
635,Weekly,Small gatherings,Honesty,Avoid conflict,No,Talking to someone,Not sure,Avoid it,Other,Injustice,0.0
636,Weekly,Small gatherings,Honesty,Talk it out,No,Social media,Ambivert,Neutral,Other,Injustice,0.0
637,Weekly,Small gatherings,Support,Apologize first,No,Alone time,Extrovert,Nervous,Stay silent,Injustice,0.0
638,Weekly,Never,Loyalty,Apologize first,Never,None of the above,Not sure,Avoid it,Other,Being interrupted,0.0
639,Daily,Large events,Loyalty,Talk it out,No,Talking to someone,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
640,Weekly,Both,Support,Let time fix it,Sometimes,None of the above,Not sure,Neutral,Express emotion strongly,Injustice,0.0
641,Never,Never,Loyalty,Avoid conflict,No,None of the above,Introvert,Nervous,Talk openly,Being interrupted,0.0
642,Weekly,Never,Honesty,Talk it out,Sometimes,Alone time,Introvert,Nervous,Express emotion strongly,Unnecessary criticism,0.0
643,Daily,Small gatherings,Support,Avoid conflict,Sometimes,Talking to someone,Not sure,Nervous,Stay silent,Being interrupted,0.0
644,Weekly,Large events,Honesty,Talk it out,Never,Talking to someone,Not sure,Nervous,Express emotion strongly,Being interrupted,0.0
645,Weekly,Large events,Loyalty,Talk it out,No,Talking to someone,Ambivert,Neutral,Other,Injustice,0.0
646,Weekly,Large events,Loyalty,Talk it out,Sometimes,Talking to someone,Ambivert,Nervous,Express emotion strongly,Injustice,0.0
647,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Social media,Extrovert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
648,Weekly,Both,Support,Apologize first,No,Talking to someone,Ambivert,Neutral,Other,Being interrupted,0.0
649,Daily,Large events,Honesty,Apologize first,Never,None of the above,Not sure,Neutral,Express emotion strongly,Injustice,0.0
650,Monthly,Large events,Support,Apologize first,Sometimes,None of the above,Extrovert,Neutral,Talk openly,Selfishness,0.0
651,Weekly,Small gatherings,Support,Avoid conflict,Sometimes,None of the above,Ambivert,Neutral,Other,Injustice,0.0
652,Weekly,Small gatherings,Honesty,Talk it out,No,Alone time,Introvert,Excited,Stay silent,Being interrupted,1.0
653,Weekly,Both,Loyalty,Let time fix it,No,Social media,Extrovert,Nervous,Other,Injustice,0.0
654,Weekly,Large events,Loyalty,Apologize first,Sometimes,None of the above,Not sure,Neutral,Talk openly,Unnecessary criticism,0.0
655,Weekly,Both,Support,Talk it out,No,None of the above,Not sure,Nervous,Express emotion strongly,Injustice,0.0
656,Daily,Small gatherings,Loyalty,Let time fix it,Never,None of the above,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
657,Weekly,Large events,Honesty,Talk it out,Yes,Alone time,Introvert,Nervous,Stay silent,Injustice,0.0
658,Monthly,Large events,Honesty,Avoid conflict,Yes,Alone time,Extrovert,Nervous,Stay silent,Unnecessary criticism,0.0
659,Weekly,Large events,Honesty,Talk it out,Yes,Alone time,Introvert,Nervous,Stay silent,Injustice,0.0
660,Weekly,Both,Loyalty,Talk it out,Yes,Alone time,Extrovert,Neutral,Express emotion strongly,Injustice,0.0
661,Monthly,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Not sure,Avoid it,Other,Injustice,0.0
662,Weekly,Large events,Honesty,Apologize first,Never,Alone time,Ambivert,Nervous,Talk openly,Injustice,1.0
663,Daily,Large events,Honesty,Talk it out,Yes,Alone time,Introvert,Nervous,Express emotion strongly,Selfishness,0.0
664,Daily,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Stay silent,Injustice,0.0
665,Monthly,Small gatherings,Support,Apologize first,Sometimes,Social media,Ambivert,Avoid it,Express emotion strongly,Being interrupted,0.0
666,Daily,Small gatherings,Loyalty,Talk it out,No,Talking to someone,Ambivert,Excited,Express emotion strongly,Being interrupted,0.0
667,Daily,Large events,Loyalty,Talk it out,Yes,Alone time,Introvert,Excited,Express emotion strongly,Being interrupted,0.0
668,Daily,Small gatherings,Loyalty,Talk it out,Yes,Social media,Extrovert,Neutral,Other,Being interrupted,0.0
669,Daily,Large events,Support,Apologize first,Never,None of the above,Introvert,Nervous,Express emotion strongly,Being interrupted,0.0
670,Weekly,Large events,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Nervous,Talk openly,Selfishness,1.0
671,Daily,Both,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Nervous,Stay silent,Unnecessary criticism,0.0
672,Never,Both,Loyalty,Avoid conflict,No,Social media,Ambivert,Nervous,Talk openly,Unnecessary criticism,1.0
673,Daily,Small gatherings,Support,Apologize first,Sometimes,Talking to someone,Ambivert,Avoid it,Other,Being interrupted,0.0
674,Daily,Both,Support,Avoid conflict,No,Talking to someone,Extrovert,Nervous,"Stay silent, Express emotion strongly",Unnecessary criticism,0.0
675,Weekly,Large events,Honesty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Avoid it,Express emotion strongly,Injustice,0.0
676,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,0.0
677,Daily,Large events,Loyalty,Apologize first,Sometimes,Talking to someone,Not sure,Avoid it,Talk openly,Being interrupted,0.0
678,Weekly,Both,Loyalty,Apologize first,Sometimes,Talking to someone,Ambivert,Neutral,Other,Injustice,0.0
679,Daily,Large events,Support,Talk it out,Yes,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,0.0
680,Daily,Large events,Support,Avoid conflict,Yes,Social media,Extrovert,Nervous,Other,Injustice,0.0
681,Daily,Small gatherings,Loyalty,Avoid conflict,Never,None of the above,Extrovert,Neutral,Express emotion strongly,Unnecessary criticism,0.0
682,Monthly,Both,Support,Apologize first,No,Talking to someone,Introvert,Excited,"Talk openly, Stay silent, Express emotion strongly, Other",Unnecessary criticism,0.0
683,Weekly,Small gatherings,Honesty,Avoid conflict,No,Alone time,Introvert,Excited,Stay silent,Unnecessary criticism,1.0
684,Monthly,Both,Loyalty,Avoid conflict,Sometimes,Social media,Ambivert,Nervous,Other,Unnecessary criticism,1.0
685,Daily,Small gatherings,Loyalty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Avoid it,Other,Injustice,0.0
686,Daily,Small gatherings,Honesty,Talk it out,Yes,Alone time,Extrovert,Excited,Stay silent,Selfishness,1.0
687,Daily,Large events,Honesty,Avoid conflict,Yes,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,1.0
688,Daily,Large events,Honesty,Talk it out,Yes,Alone time,Extrovert,Excited,Stay silent,Unnecessary criticism,0.0
689,Daily,Small gatherings,Honesty,Avoid conflict,No,Alone time,Extrovert,Excited,Talk openly,Selfishness,1.0
690,Daily,Large events,Honesty,Talk it out,No,Social media,Extrovert,Nervous,Talk openly,Being interrupted,1.0
691,Weekly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Ambivert,Nervous,Stay silent,Being interrupted,0.0
692,Weekly,Small gatherings,Honesty,Talk it out,Yes,Alone time,Introvert,Excited,Express emotion strongly,Being interrupted,0.0
693,Monthly,Large events,Loyalty,Apologize first,Sometimes,Social media,Extrovert,Nervous,Talk openly,Unnecessary criticism,1.0
694,Monthly,Large events,Honesty,Talk it out,Yes,Alone time,Extrovert,Neutral,Express emotion strongly,Being interrupted,0.0
695,Weekly,Small gatherings,Honesty,Avoid conflict,Sometimes,Talking to someone,Ambivert,Avoid it,Stay silent,Unnecessary criticism,0.0
